Matches
14-08-2021 Augsburg 0 - 4 Hoffenheim
21-08-2021 Ein Frankfurt 0 - 0 Augsburg
28-08-2021 Augsburg 1 - 4 Leverkusen
11-09-2021 Union Berlin 0 - 0 Augsburg
18-09-2021 Augsburg 1 - 0 M''gladbach
26-09-2021 Freiburg 3 - 0 Augsburg
02-10-2021 Dortmund 2 - 1 Augsburg
17-10-2021 Augsburg 1 - 1 Bielefeld
22-10-2021 Mainz 4 - 1 Augsburg
31-10-2021 Augsburg 4 - 1 Stuttgart
06-11-2021 Wolfsburg 1 - 0 Augsburg
19-11-2021 Augsburg 2 - 1 Bayern Munich
27-11-2021 Hertha 1 - 1 Augsburg
04-12-2021 Augsburg 2 - 3 Bochum
10-12-2021 FC Koln 0 - 2 Augsburg
15-12-2021 Augsburg 1 - 1 RB Leipzig
18-12-2021 Greuther Furth 0 - 0 Augsburg
08-01-2022 Hoffenheim 3 - 1 Augsburg
16-01-2022 Augsburg 1 - 1 Ein Frankfurt
22-01-2022 Leverkusen 5 - 1 Augsburg
05-02-2022 Augsburg 2 - 0 Union Berlin
12-02-2022 M''gladbach 3 - 2 Augsburg
19-02-2022 Augsburg 1 - 2 Freiburg
27-02-2022 Augsburg 1 - 1 Dortmund
04-03-2022 Bielefeld 0 - 1 Augsburg
19-03-2022 Stuttgart ? - ? Augsburg
13-08-2021 M''gladbach 1 - 1 Bayern Munich
22-08-2021 Bayern Munich 3 - 2 FC Koln
28-08-2021 Bayern Munich 5 - 0 Hertha
11-09-2021 RB Leipzig 1 - 4 Bayern Munich
18-09-2021 Bayern Munich 7 - 0 Bochum
24-09-2021 Greuther Furth 1 - 3 Bayern Munich
03-10-2021 Bayern Munich 1 - 2 Ein Frankfurt
17-10-2021 Leverkusen 1 - 5 Bayern Munich
23-10-2021 Bayern Munich 4 - 0 Hoffenheim
30-10-2021 Union Berlin 2 - 5 Bayern Munich
06-11-2021 Bayern Munich 2 - 1 Freiburg
19-11-2021 Augsburg 2 - 1 Bayern Munich
27-11-2021 Bayern Munich 1 - 0 Bielefeld
04-12-2021 Dortmund 2 - 3 Bayern Munich
11-12-2021 Bayern Munich 2 - 1 Mainz
14-12-2021 Stuttgart 0 - 5 Bayern Munich
17-12-2021 Bayern Munich 4 - 0 Wolfsburg
07-01-2022 Bayern Munich 1 - 2 M''gladbach
15-01-2022 FC Koln 0 - 4 Bayern Munich
23-01-2022 Hertha 1 - 4 Bayern Munich
05-02-2022 Bayern Munich 3 - 2 RB Leipzig
12-02-2022 Bochum 4 - 2 Bayern Munich
20-02-2022 Bayern Munich 4 - 1 Greuther Furth
26-02-2022 Ein Frankfurt 0 - 1 Bayern Munich
05-03-2022 Bayern Munich 1 - 1 Leverkusen
12-03-2022 Hoffenheim 1 - 1 Bayern Munich
19-03-2022 Bayern Munich ? - ? Union Berlin
14-08-2021 Bielefeld 0 - 0 Freiburg
21-08-2021 Greuther Furth 1 - 1 Bielefeld
28-08-2021 Bielefeld 1 - 1 Ein Frankfurt
12-09-2021 M''gladbach 3 - 1 Bielefeld
18-09-2021 Bielefeld 0 - 0 Hoffenheim
25-09-2021 Union Berlin 1 - 0 Bielefeld
03-10-2021 Bielefeld 0 - 4 Leverkusen
17-10-2021 Augsburg 1 - 1 Bielefeld
23-10-2021 Bielefeld 1 - 3 Dortmund
30-10-2021 Bielefeld 1 - 2 Mainz
06-11-2021 Stuttgart 0 - 1 Bielefeld
20-11-2021 Bielefeld 2 - 2 Wolfsburg
27-11-2021 Bayern Munich 1 - 0 Bielefeld
04-12-2021 Bielefeld 1 - 1 FC Koln
11-12-2021 Hertha 2 - 0 Bielefeld
14-12-2021 Bielefeld 2 - 0 Bochum
18-12-2021 RB Leipzig 0 - 2 Bielefeld
08-01-2022 Freiburg 2 - 2 Bielefeld
16-01-2022 Bielefeld 2 - 2 Greuther Furth
21-01-2022 Ein Frankfurt 0 - 2 Bielefeld
05-02-2022 Bielefeld 1 - 1 M''gladbach
13-02-2022 Hoffenheim 2 - 0 Bielefeld
19-02-2022 Bielefeld 1 - 0 Union Berlin
26-02-2022 Leverkusen 3 - 0 Bielefeld
04-03-2022 Bielefeld 0 - 1 Augsburg
13-03-2022 Dortmund 1 - 0 Bielefeld
19-03-2022 Mainz ? - ? Bielefeld
